Date,Bitcoin,S&P 500
08/2011,10000,10000
09/2011,6447.548692883064,9949.061776277335
10/2011,4257.28519391472,10643.862134100356
11/2011,4294.185049932927,11081.80099100323
12/2011,6393.5582347940335,11609.598866692168
01/2012,7265.577565270188,11911.684513201812
02/2012,6704.744104738527,12179.95074469384
03/2012,6626.703354297695,12662.718279684368
04/2012,6834.607234751023,12718.494597954383
05/2012,7529.075626864468,12735.743243861622
06/2012,9483.171167593331,13063.52904681876
07/2012,13645.39238033214,13574.902711853832
08/2012,14551.97843152803,13520.733658587982
09/2012,17070.668986852284,13527.95064451723
10/2012,15291.887939659817,13213.77286340655
11/2012,17289.147928538427,13297.568489534011
12/2012,18125.473700166745,13207.222857592376
01/2013,27273.708487084874,13526.337199060894
02/2013,46129.608119430275,14149.593216648966
03/2013,135627.44045294807,15051.69397287188
04/2013,193282.0149938801,15028.332731764172
05/2013,177639.11848377672,15457.892808328319
06/2013,123634.22209480124,15164.043869607242
07/2013,133723.72881355934,15701.604843903195
08/2013,174688.3264072535,15292.946110855632
09/2013,168855.28507960014,15457.173346975618
10/2013,269514.05688732496,16006.505948110156
11/2013,1485660.8625376534,16530.642474221484
12/2013,958723.0802697411,16727.938262725398
01/2014,1073112.4223142941,16478.135190566838
02/2014,721676.1836675595,16861.428275699265
03/2014,595834.5572236729,17033.95433050182
04/2014,585368.4566787005,17083.04368575582
05/2014,833367.9356213713,17796.328068132152
06/2014,847858.352247767,18096.109298007606
07/2014,785790.9783989835,18218.700357567763
08/2014,656101.0009099182,19221.979855465746
09/2014,561397.3714535484,19863.680044845834
10/2014,487459.627515171,20444.70902426341
11/2014,545521.3590483058,21063.506874554565
12/2014,477560.5386706203,21602.286920229977
01/2015,346550.7518796993,22503.3012716983
02/2015,407322.23087188613,23934.263705320707
03/2015,410036.71344920533,24608.8276153296
04/2015,380415.7378510923,23834.748172795727
05/2015,376908.55742935283,24680.391686579733
06/2015,423756.032710698,23728.887365198476
07/2015,468287.6470320051,24716.454013735394
08/2015,370204.7481052163,22711.621793429596
09/2015,380823.2169954477,22173.380756462
10/2015,508543.72787510225,24449.737341034204
11/2015,643191.6414594952,25537.726538295046
12/2015,714884.782309176,24423.863251225695
01/2016,609510.1304945055,23141.727364851624
02/2016,722018.9084313007,23178.428212204588
03/2016,657865.2832674573,23670.321183130516
04/2016,710223.8994124354,23724.6059156854
05/2016,861247.9827864446,24689.76849295271
06/2016,1086727.3351648352,24869.713290284446
07/2016,1013941.2737334655,25761.085686360428
08/2016,926084.4300215596,25753.243899158315
09/2016,984334.2330436341,25691.12864557295
10/2016,1150168.3834277361,25717.92831714155
11/2016,1260315.8204043256,27450.31883717965
12/2016,1655800.5644625747,28242.511744364376
01/2017,1618974.3723849375,28205.545455836087
02/2017,2030407.7215249601,29762.775774453567
03/2017,1808294.301281452,29535.451435894578
04/2017,2231305.409423605,29186.329579624842
05/2017,3699118.2269851174,28829.499226675274
06/2017,3902288.216351209,28523.921271567826
07/2017,4398658.49108894,28328.513395066293
08/2017,7231507.082452432,28179.764873035783
09/2017,6618668.526596647,28807.33660195888
10/2017,9986073.047344906,29905.1023823033
11/2017,15164131.097560978,30273.413415092167
12/2017,20904485.95013758,30242.46945953468
01/2018,14715927.791603114,30782.993430953455
02/2018,15254043.003929919,30238.324025419344
03/2018,10157308.558558559,29213.91936123161
04/2018,13820406.956287773,29913.555837845895
05/2018,11567596.162065135,31628.974622445865
06/2018,9893797.124292333,31935.55416316949
07/2018,11889960.751107704,32903.879539594265
08/2018,10878970.420993907,34223.892596041995
09/2018,10294829.226416726,34641.69275115064
10/2018,10059446.401749428,33009.63351279084
11/2018,6314576.217096577,33560.73173308248
12/2018,5826221.069868997,30287.893615624558
01/2019,5366408.371779248,32606.79642071515
02/2019,5998724.597056763,33866.00212684381
03/2019,6585264.35246996,35080.25906371188
04/2019,8483803.931182032,36555.94792232145
05/2019,13844839.02788988,34438.575449708886
06/2019,17078585.78646749,36123.84381688896
07/2019,16336333.400591878,37395.568114611495
08/2019,15702639.939742662,37186.676548206
09/2019,13765336.865185052,38393.873283089946
10/2019,14817387.42827685,38293.51622449591
11/2019,12418865.131578946,40305.05727236648
12/2019,11525592.175538545,40590.17066694929
01/2020,15244687.895855956,41242.41400502951
02/2020,14032276.919923479,38105.98194614568
03/2020,10586148.343373496,33463.39608413298
04/2020,14327966.853622656,38030.90297640553
05/2020,15321642.140355606,38911.99402530254
06/2020,14731567.244150743,39466.15502479736
07/2020,17313564.842167452,39404.20151055925
08/2020,17631359.924623117,41911.127905245274
09/2020,16628083.25503929,41117.55674214233
10/2020,21332958.197982565,40058.34660157702
11/2020,29702394.146494154,43397.11778673165
12/2020,42676413.44429957,43996.96714752938
01/2021,49325657.23879367,44037.24253495646
02/2021,67417279.1023843,45307.54719042819
03/2021,90555253.8379531,48889.04959910978
04/2021,86373598.27636154,49976.53889400769
05/2021,55280650.612654716,49834.744534344776
06/2021,53253110.642460465,52358.50747040891
07/2021,63023755.20351527,53570.69561480762
08/2021,71975399.3260943,55465.42258254047
09/2021,68378909.39416185,54050.44328702998
10/2021,95174313.86861314,57509.488123212635
11/2021,90565435.40438266,58528.36174738881
12/2021,73701841.61442699,61351.163156844894
01/2022,62321647.99211188,59062.95328781986
02/2022,69641961.44745068,57074.49049560461
03/2022,74061407.92496172,59716.23051098939
04/2022,64503689.51612904,57410.15713221056
05/2022,53553145.944179974,56586.65538193728
06/2022,34648438.01145663,53545.181969903715
07/2022,41308413.230535395,59566.14215301067
08/2022,36231568.75,58268.26577682758
09/2022,35993440.96224867,54269.37515477574
10/2022,37345685.394391775,57680.838869746454
11/2022,29889468.484965306,58192.50292006893
12/2022,27989593.099568725,53348.71256642747
01/2023,38561011.49266132,55826.748359323385
02/2023,39353423.10952067,55562.1884172485
03/2023,47296344.82758621,56246.148740651
04/2023,48088260.40433476,56572.66913062726
05/2023,46021079.05082842,58403.52293950633
06/2023,50648473.44929137,61213.97112256036
07/2023,47898479.31597569,62280.56612183103
08/2023,43098707.21383879,62163.09680706235
09/2023,45976342.74117426,60730.38467795614
10/2023,58956993.36095677,59313.44534438817
11/2023,62327274.49455678,62882.72083845794
12/2023,69075576.92307693,65031.55772953247
01/2024,70933272.58466364,67424.02189984622
02/2024,102043281.2211343,71096.34985971857
03/2024,119099557.16399966,73485.67144809604
04/2024,102180024.25825715,71095.73592924916
05/2024,112311399.97235535,73699.613507197
06/2024,105752942.5502102,77392.43433832526
07/2024,107781146.10269672,77444.65927373935
08/2024,96066694.10119961,77470.14130766905
09/2024,102125078.15291177,78354.34344847499
10/2024,116573004.73258592,79884.2379482117
11/2024,164927623.79284227,87135.83817747922